total time to compute on CPU: 0.060341
total time to compute on GPU: 0.266907
Is the host computation the same as the GPU computation? : True
         182007 function calls (177101 primitive calls) in 3.964 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 array.py:1(<module>)
      117    0.000    0.000    0.000    0.000 {numpy.array}
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       28    0.000    0.000    0.000    0.000 genericpath.py:46(isdir)
        8    0.000    0.000    0.000    0.000 __init__.py:1615(_get)
      103    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
      112    0.000    0.000    0.000    0.000 posixpath.py:61(join)
     1481    0.000    0.000    0.000    0.000 {chr}
        4    0.000    0.000    0.000    0.000 stride_tricks.py:39(as_strided)
     1445    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
      200    0.000    0.000    0.000    0.000 sre_parse.py:86(closegroup)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
       25    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-29>:1(_deco)
        9    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 core.py:6283(__array_finalize__)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        8    0.000    0.000    0.000    0.000 subprocess.py:859(pipe_cloexec)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      527    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
       50    0.000    0.000    0.000    0.000 __init__.py:2378(yield_lines)
       56    0.000    0.000    0.000    0.000 posixpath.py:97(splitext)
       29    0.000    0.000    0.000    0.000 __init__.py:1492(_validate_resource_path)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        2    0.000    0.000    0.000    0.000 {posix.open}
      460    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
       12    0.000    0.000    0.000    0.000 {open}
       90    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
      176    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.000    0.000 {_io.open}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
        2    0.000    0.000    0.000    0.000 subprocess.py:794(_get_handles)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
     1172    0.000    0.000    0.000    0.000 __init__.py:2094(__bool__)
        1    0.000    0.000    0.000    0.000 dtypes.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      112    0.000    0.000    0.000    0.000 version.py:65(_compare)
       18    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       47    0.000    0.000    0.000    0.000 {posix.lstat}
        2    0.000    0.000    0.000    0.000 appdirs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 gpuarray.py:153(GPUArray)
       22    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
      256    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
       85    0.000    0.000    0.000    0.000 __init__.py:2637(key)
      172    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
       56    0.000    0.000    0.000    0.000 genericpath.py:93(_splitext)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
      746    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:1603(_has)
      233    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      384    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
       21    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        1    0.000    0.000    0.000    0.000 <decorator-gen-31>:1(_deco)
       16    0.000    0.000    0.000    0.000 subprocess.py:846(_set_cloexec_flag)
       10    0.000    0.000    0.000    0.000 posixpath.py:358(abspath)
        1    0.000    0.000    0.000    0.000 six.py:725(exec_)
      383    0.000    0.000    0.000    0.000 sre_parse.py:222(isident)
      105    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        8    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
       18    0.000    0.000    0.000    0.000 __init__.py:3162(_find_adapter)
        1    0.000    0.000    0.000    0.000 polynomial.py:1614(Polynomial)
       56    0.000    0.000    0.000    0.000 version.py:53(__eq__)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        4    0.000    0.000    0.000    0.000 core.py:3349(dtype)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
       34    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        8    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
       43    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
       37    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       56    0.000    0.000    0.000    0.000 version.py:47(__lt__)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
       90    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
       67    0.000    0.000    0.000    0.000 __init__.py:2812(__getattr__)
        1    0.000    0.000    0.000    0.000 py31compat.py:1(<module>)
      143    0.000    0.000    0.000    0.000 six.py:189(find_module)
        1    0.000    0.000    0.000    0.000 <decorator-gen-33>:1(_deco)
      105    0.000    0.000    0.000    0.000 {repr}
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        7    0.000    0.000    0.000    0.000 six.py:96(__get__)
       54    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.000    0.000 prefork.py:7(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:576(wrapper)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
        9    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      384    0.000    0.000    0.000    0.000 _dtype.py:64(_unpack_field)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:24(<module>)
        7    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
       30    0.000    0.000    0.000    0.000 inspect.py:155(isgeneratorfunction)
        2    0.000    0.000    0.000    0.000 gpuarray.py:109(splay)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       29    0.000    0.000    0.000    0.000 ntpath.py:56(isabs)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
      297    0.000    0.000    0.000    0.000 {numpy.core._multiarray_umath.add_docstring}
      149    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        8    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1142(resource_filename)
       95    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       44    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
       12    0.000    0.000    0.000    0.000 {posix.close}
      294    0.000    0.000    0.000    0.000 {max}
       14    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        3    0.000    0.000    0.000    0.000 decimal.py:3782(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
       19    0.000    0.000    0.000    0.000 pyparsing.py:4017(__str__)
        4    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        2    0.000    0.000    0.000    0.000 <decorator-gen-30>:1(_splay_backend)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
      103    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        2    0.000    0.000    0.000    0.000 helper.py:253(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 gpuarray.py:225(flags)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:689(exec_)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
       51    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       74    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
        4    0.000    0.000    0.000    0.000 numeric.py:3063(__exit__)
      660    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6670(<genexpr>)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      200    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
      2/1    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       78    0.000    0.000    0.000    0.000 _internal.py:819(<genexpr>)
        3    0.000    0.000    0.000    0.000 {posix.urandom}
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       17    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        2    0.000    0.000    0.000    0.000 collections.py:50(__init__)
      173    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 gpuarray.py:19(_get_common_dtype)
       29    0.000    0.000    0.000    0.000 ntpath.py:96(splitdrive)
        6    0.000    0.000    0.000    0.000 {posix.fdopen}
        1    0.000    0.000    0.000    0.000 __init__.py:354(get_provider)
        2    0.000    0.000    0.000    0.000 subprocess.py:1094(wait)
      195    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
        2    0.000    0.000    0.000    0.000 array.py:68(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:494(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      413    0.000    0.000    0.000    0.000 {globals}
      207    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:630(find)
       18    0.000    0.000    0.000    0.000 inspect.py:339(getmro)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        4    0.000    0.000    0.000    0.000 subprocess.py:1155(register_and_append)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       31    0.000    0.000    0.000    0.000 <string>:12(_make)
        1    0.000    0.000    0.000    0.000 __init__.py:3128(__contains__)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3945(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        4    0.000    0.000    0.000    0.000 subprocess.py:1159(close_unregister_and_remove)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 __init__.py:3239(_initialize)
        2    0.000    0.000    0.000    0.000 __init__.py:603(memoize_method)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3508(__str__)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        2    0.000    0.000    0.000    0.000 gpuarray.py:1217(_compact_strides)
      121    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      184    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
        6    0.000    0.000    0.000    0.000 six.py:164(_resolve)
      180    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        2    0.000    0.000    0.000    0.000 core.py:6448(__init__)
      486    0.000    0.000    0.000    0.000 {id}
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
        1    0.000    0.000    0.000    0.000 specifiers.py:78(_IndividualSpecifier)
      150    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 specifiers.py:700(contains)
        1    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1890(has_metadata)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 gpuarray.py:80(_splay_backend)
      232    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
        2    0.000    0.000    0.000    0.000 platform.py:1449(python_implementation)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        2    0.000    0.000    0.000    0.000 six.py:205(load_module)
       36    0.000    0.000    0.000    0.000 __init__.py:2553(is_version_line)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       31    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        2    0.000    0.000    0.000    0.000 __init__.py:562(memoize_on_first_arg)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4757(<lambda>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 graph.py:1(<module>)
        2    0.000    0.000    0.000    0.000 platform.py:1346(_sys_version)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
       31    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:29(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        4    0.000    0.000    0.000    0.000 numeric.py:469(asarray)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4214(copy)
        1    0.000    0.000    0.000    0.000 _compat.py:28(__new__)
        4    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
        8    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
       33    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        8    0.000    0.000    0.000    0.000 {posix.pipe}
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:130(<dictcomp>)
       21    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        6    0.000    0.000    0.000    0.000 subprocess.py:921(_close_in_parent)
        1    0.000    0.000    0.000    0.000 __init__.py:959(Environment)
       95    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
        2    0.000    0.000    0.000    0.000 ssl.py:321(__new__)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
       41    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
       75    0.000    0.000    0.000    0.000 decorator.py:214(<genexpr>)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
       56    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
        2    0.000    0.000    0.000    0.000 array.py:59(is_f_contiguous_strides)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 os.py:136(makedirs)
       47    0.000    0.000    0.000    0.000 posixpath.py:52(isabs)
       54    0.000    0.000    0.000    0.000 {sys._getframe}
       23    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
       18    0.000    0.000    0.000    0.000 pkgutil.py:364(get_importer)
        1    0.000    0.000    0.000    0.000 elementwise.py:166(ElementwiseKernel)
       44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
       45    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6628(numeric_type_aliases)
       28    0.000    0.000    0.000    0.000 posixpath.py:112(basename)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        4    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
       39    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        8    0.000    0.000    0.000    0.000 six.py:85(_import_module)
        5    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        4    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1972(__xor__)
       31    0.000    0.000    0.000    0.000 inspect.py:208(iscode)
        1    0.000    0.000    0.000    0.000 defchararray.py:1824(chararray)
        1    0.000    0.000    0.000    0.000 __init__.py:177(get_supported_platform)
        1    0.000    0.000    0.000    0.000 characterize.py:21(has_double_support)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 compiler.py:277(get_function)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
       90    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        6    0.000    0.000    0.000    0.000 elementwise.py:68(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3465(parseImpl)
       14    0.000    0.000    0.000    0.000 __init__.py:2290(fixup_namespace_packages)
      124    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
        2    0.000    0.000    0.000    0.000 threading.py:114(RLock)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
       35    0.000    0.000    0.000    0.000 {vars}
        3    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3458(__init__)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 __init__.py:1522(CPyUserInterface)
        8    0.000    0.000    0.000    0.000 pyparsing.py:644(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:387(get_build_platform)
        2    0.000    0.000    0.000    0.000 {numpy.empty}
        4    0.000    0.000    0.000    0.000 codecs.py:311(decode)
        6    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        1    0.000    0.000    0.000    0.000 array.py:76(get_common_dtype)
       14    0.000    0.000    0.000    0.000 __init__.py:2360(_is_unpacked_egg)
       14    0.000    0.000    0.000    0.000 __init__.py:3245(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3513(<genexpr>)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6629(type_aliases_gen)
      120    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
       12    0.000    0.000    0.000    0.000 random.py:275(choice)
        1    0.000    0.000    0.000    0.000 appdirs.py:257(user_cache_dir)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        1    0.000    0.000    0.000    0.000 tools.py:238(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1441(tryParse)
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
       15    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
        4    0.000    0.000    0.000    0.000 __init__.py:1902(_warn_on_replacement)
        1    0.000    0.000    0.000    0.000 tempfile.py:148(_candidate_tempdir_list)
       75    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
      3/1    0.000    0.000    0.000    0.000 _internal.py:91(_array_descr)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
       78    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
        4    0.000    0.000    0.000    0.000 array.py:48(equal_strides)
       81    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
       24    0.000    0.000    0.000    0.000 {_struct.calcsize}
        9    0.000    0.000    0.000    0.000 pyparsing.py:3841(__str__)
      105    0.000    0.000    0.000    0.000 {unichr}
        9    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 decimal.py:3763(Context)
        1    0.000    0.000    0.000    0.000 sysconfig.py:532(get_platform)
        1    0.000    0.000    0.000    0.000 driver.py:478(function_prepare)
        2    0.000    0.000    0.000    0.000 {posix.waitpid}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3061(__init__)
        6    0.000    0.000    0.000    0.000 elementwise.py:150(<genexpr>)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
       14    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
       14    0.000    0.000    0.000    0.000 __init__.py:2353(_is_egg_path)
        2    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:75(__call__)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
       90    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2431(parseImpl)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        7    0.000    0.000    0.000    0.000 tools.py:361(dtype_to_ctype)
        1    0.000    0.000    0.000    0.000 tempfile.py:48(_set_cloexec)
        1    0.000    0.000    0.000    0.000 __init__.py:1394(get_resource_filename)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
